0,0.0036452,3.6557,-6.7284,1279
5.5292,0.003929,3.4647,-8.2647,1535.7
11.058,0.0031566,3.4498,-6.761,1611.8
16.588,0.0036652,3.3634,-8.1279,1681.4
22.117,0.0033322,3.4427,-6.9015,1539.4
27.646,0.0031434,3.447,-5.5344,1589.5
33.175,0.0034812,3.3579,-6.7981,1724.2
38.704,0.0034408,3.2997,-7.0495,1793.5
44.234,0.0039947,3.3614,-8.7213,1621
49.763,0.0036989,3.4188,-7.4427,1444.8
55.292,0.0047367,3.3667,-9.1322,1438.8
60.821,0.0048561,3.5089,-9.1959,1141.9
66.35,0.0055,3.4497,-8.8321,1203.2
71.88,0.0076629,3.5073,-9.3647,967.19
77.409,0.012872,3.5544,-11.371,741.32
82.938,0.021237,3.4835,-13.434,765.67
88.467,0.035177,3.432,-8.3665,773.76
93.996,0.063581,3.3298,-8.8018,966.02
99.526,0.11275,3.6586,-12.095,636.05
105.05,0.18934,5.3253,-25.406,-1316.2
110.58,0.27191,8.8967,-42.684,-5532.3
116.11,0.29232,13.699,-61.121,-11879
121.64,0.15953,16.043,-88.148,-18441
127.17,-0.129,11.675,-96.741,-20989
132.7,-0.43769,2.516,-82.642,-18942
138.23,-0.65461,-6.3038,-52.999,-14730
140.24,-0.53263,-12.805,-4.127,-10617
145.8,-0.41127,-16.15,16.485,-7023.2
151.37,-0.31058,-16.868,26.336,-4721.4
156.96,-0.2329,-16.342,31.85,-2779
162.57,-0.1724,-14.898,29.837,-1716.2
168.19,-0.12649,-13.261,25.366,-876.3
173.82,-0.091698,-11.502,19.782,-477.45
179.47,-0.066075,-9.8224,16.369,-231.88
185.13,-0.046405,-8.3314,13.526,-27.195
190.8,-0.031676,-6.9998,10.885,48.789
196.48,-0.020681,-5.8709,8.7293,85.13
202.18,-0.012402,-4.8932,6.4715,105.73
207.88,-0.0062374,-4.0687,5.1758,120.7
213.59,-0.0014464,-3.3688,2.9876,81.204
219.31,0.001553,-2.8136,2.5085,94.178
225.04,0.0039073,-2.3184,1.7772,52.119
230.78,0.0053683,-1.9237,1.5511,31.403
236.52,0.0062344,-1.6122,1.8178,39.162
242.27,0.0065585,-1.3737,1.7238,82.542
248.03,0.0070021,-1.1121,1.2203,21.354
253.8,0.0072725,-0.94065,0.40125,13.897
259.57,0.0072523,-0.80326,0.30824,38.329
265.35,0.0070018,-0.68055,0.086399,45.796
