-259.57,0.0036296,-0.57312,0.041303,63.227
-253.8,0.0042531,-0.75092,-4.8786,330.98
-248.03,0.0032999,-0.81361,-2.9882,155.08
-242.27,0.0022009,-0.99827,2.1764,-9.9719
-236.52,0.00071533,-1.1413,4.7467,-199.89
-230.78,9.1892e-05,-1.4789,2.0093,-0.92516
-225.04,-0.0018123,-1.8321,2.2623,37.853
-219.31,-0.0045582,-2.2405,3.053,29.814
-213.59,-0.0084528,-2.7662,3.9082,74.413
-207.88,-0.013834,-3.3555,4.8937,43.043
-202.18,-0.021204,-4.0845,6.5343,16.212
-196.48,-0.030888,-4.954,8.3096,-35.089
-190.8,-0.043846,-6.023,10.723,-53.745
-185.13,-0.061264,-7.3003,14.46,-97.104
-179.47,-0.083651,-8.69,18.451,-342.18
-173.82,-0.11252,-10.266,22.03,-698.26
-168.19,-0.15076,-11.975,27.736,-1178.8
-162.57,-0.19866,-13.862,29.505,-1600.8
-156.96,-0.26363,-15.24,35.579,-2954.6
-151.37,-0.34531,-16.053,32.99,-4748.8
-145.8,-0.45091,-15.886,27.467,-6620.9
-140.24,-0.57353,-12.738,-2.8539,-10750
-138.23,-0.70156,-6.7828,-46.417,-15090
-132.7,-0.48261,1.5081,-77.058,-19360
-127.17,-0.16912,10.452,-99.627,-21932
-121.64,0.12801,14.759,-95.91,-19197
-116.11,0.26671,12.214,-62.588,-11948
-110.58,0.25364,8.4262,-34.045,-6627.3
-105.05,0.17808,4.8315,-22.511,-1833.6
-99.526,0.10738,3.5427,-14.435,-104.74
-93.996,0.058819,3.1813,-11.284,469.71
-88.467,0.031396,3.1218,-11.367,739.01
-82.938,0.016193,3.0842,-11.373,1000.2
-77.409,0.0083302,3.1609,-11.624,1020
-71.88,0.004215,3.2224,-11.966,1017
-66.35,0.0022404,3.241,-12.026,1086.7
-60.821,0.0011711,3.2822,-11.941,1077.1
-55.292,0.000892,3.2539,-12.808,1162
-49.763,0.00070366,3.2714,-13.176,1159.1
-44.234,0.00042405,3.2747,-12.978,1186.1
-38.704,0.00044702,3.3163,-13.632,1123.8
-33.175,0.00031985,3.2962,-13.482,1178.2
-27.646,0.00037662,3.3002,-13.633,1180.7
-22.117,0.00051519,3.3026,-14.149,1185
-16.588,0.00023259,3.3324,-13.766,1136.6
-11.058,0.00013051,3.3,-13.835,1211.8
-5.5292,0.00028079,3.3059,-14.188,1216.7
0,0.00024031,3.3009,-14.273,1231.4
5.5292,0.00028079,3.3059,-14.188,1216.7
11.058,0.00013051,3.3,-13.835,1211.8
16.588,0.00023259,3.3324,-13.766,1136.6
22.117,0.00051519,3.3026,-14.149,1185
27.646,0.00037662,3.3002,-13.633,1180.7
33.175,0.00031985,3.2962,-13.482,1178.2
38.704,0.00044702,3.3163,-13.632,1123.8
44.234,0.00042405,3.2747,-12.978,1186.1
49.763,0.00070366,3.2714,-13.176,1159.1
55.292,0.000892,3.2539,-12.808,1162
60.821,0.0011711,3.2822,-11.941,1077.1
66.35,0.0022404,3.241,-12.026,1086.7
71.88,0.004215,3.2224,-11.966,1017
77.409,0.0083302,3.1609,-11.624,1020
82.938,0.016193,3.0842,-11.373,1000.2
88.467,0.031396,3.1218,-11.367,739.01
93.996,0.058819,3.1813,-11.284,469.71
99.526,0.10738,3.5427,-14.435,-104.74
105.05,0.17808,4.8315,-22.511,-1833.6
110.58,0.25364,8.4262,-34.045,-6627.3
116.11,0.26671,12.214,-62.588,-11948
121.64,0.12801,14.759,-95.91,-19197
127.17,-0.16912,10.452,-99.627,-21932
132.7,-0.48261,1.5081,-77.058,-19360
138.23,-0.70156,-6.7828,-46.417,-15090
140.24,-0.57353,-12.738,-2.8539,-10750
145.8,-0.45091,-15.886,27.467,-6620.9
151.37,-0.34531,-16.053,32.99,-4748.8
156.96,-0.26363,-15.24,35.579,-2954.6
162.57,-0.19866,-13.862,29.505,-1600.8
168.19,-0.15076,-11.975,27.736,-1178.8
173.82,-0.11252,-10.266,22.03,-698.26
179.47,-0.083651,-8.69,18.451,-342.18
185.13,-0.061264,-7.3003,14.46,-97.104
190.8,-0.043846,-6.023,10.723,-53.745
196.48,-0.030888,-4.954,8.3096,-35.089
202.18,-0.021204,-4.0845,6.5343,16.212
207.88,-0.013834,-3.3555,4.8937,43.043
213.59,-0.0084528,-2.7662,3.9082,74.413
219.31,-0.0045582,-2.2405,3.053,29.814
225.04,-0.0018123,-1.8321,2.2623,37.853
230.78,9.1892e-05,-1.4789,2.0093,-0.92516
236.52,0.00071533,-1.1413,4.7467,-199.89
242.27,0.0022009,-0.99827,2.1764,-9.9719
248.03,0.0032999,-0.81361,-2.9882,155.08
253.8,0.0042531,-0.75092,-4.8786,330.98
259.57,0.0036296,-0.57312,0.041303,63.227
