-0.062303354	0.002775486	27.75	0.000859237
10.0561096	0.031089153	310.89	0.009249697
15.11089	0.045353593	453.54	0.013478394
20.55191527	0.061059804	610.60	0.018134844
30.62401293	0.089703888	897.04	0.02663162
40.61449673	0.11801114	1180.11	0.035021785
50.55145783	0.146310391	1463.10	0.043408172
60.57527045	0.175163061	1751.63	0.051957939
70.49004123	0.20364509	2036.45	0.060399462
80.46698765	0.232074084	2320.74	0.068836073
90.56893461	0.260762109	2607.62	0.077335379
100.6878136	0.289392337	2893.92	0.085824746
110.6967414	0.317813853	3178.14	0.094254463
120.7413715	0.345904152	3459.04	0.102563702
130.820469	0.373810144	3738.10	0.110819935
140.8114689	0.400755949	4007.56	0.118792988
150.881169	0.426742783	4267.43	0.12645542
160.9993779	0.450745785	4507.46	0.133518948
170.9883627	0.473024813	4730.25	0.140045358
181.0661767	0.494348774	4943.49	0.146284471
190.9874083	0.514272756	5142.73	0.152098295
201.016111	0.533581431	5335.81	0.157719376
211.086244	0.552277153	5522.77	0.163147949
221.1437904	0.57014561	5701.46	0.168324706
231.1669085	0.587502557	5875.03	0.173346382
241.2282559	0.604293817	6042.94	0.178190763
251.2837737	0.620467959	6204.68	0.18284707
261.39065	0.635995504	6359.96	0.187306553
271.4799719	0.650966267	6509.66	0.191595221
276.4759108	0.65762592	6576.26	0.193479587
276.4975685	0.658175317	6581.75	0.193648747
281.5563533	0.666400936	6664.01	0.196009033
291.5851364	0.679494521	6794.95	0.199715445
301.5725977	0.692503283	6925.03	0.203404809
