-295.82	0.0028452
-290.29	0.0031491
-284.76	0.0034867
-279.23	0.0038824
-273.71	0.0043482
-268.18	0.0048951
-262.65	0.0055364
-257.12	0.0062887
-251.59	0.0071715
-246.06	0.0082123
-240.53	0.0094421
-235	0.0109
-229.47	0.012634
-223.94	0.014704
-218.42	0.017182
-212.89	0.020156
-207.36	0.023735
-201.83	0.028051
-196.3	0.03326
-190.77	0.039567
-185.24	0.047192
-179.71	0.056427
-174.18	0.067628
-168.65	0.081213
-163.13	0.097771
-157.6	0.11797
-152.07	0.14273
-146.54	0.17333
-141.01	0.21114
-135.48	0.2574
-129.95	0.31212
-124.42	0.37161
-124.42	0.3716
-119.24	0.42368
-114.02	0.46436
-108.77	0.4904
-103.5	0.50448
-98.205	0.51138
-92.883	0.51458
-87.539	0.51604
-82.173	0.51671
-76.786	0.51702
-71.381	0.51718
-65.958	0.51727
-60.519	0.51733
-55.065	0.51737
-49.597	0.5174
-44.117	0.51742
-38.626	0.51745
-33.126	0.51746
-27.618	0.51748
-22.102	0.51749
-16.581	0.5175
-11.057	0.51751
-5.529	0.51751
2.1554e-14	0.51751
-2.1554e-14	0.51751
5.529	0.51751
11.057	0.51751
16.581	0.5175
22.102	0.51749
27.618	0.51748
33.126	0.51746
38.626	0.51745
44.117	0.51742
49.597	0.5174
55.065	0.51737
60.519	0.51733
65.958	0.51727
71.381	0.51718
76.786	0.51702
82.173	0.51671
87.539	0.51604
92.883	0.51458
98.205	0.51138
103.5	0.50448
108.77	0.4904
114.02	0.46436
119.24	0.42368
124.42	0.3716
124.42	0.37161
129.95	0.31212
135.48	0.2574
141.01	0.21114
146.54	0.17333
152.07	0.14273
157.6	0.11797
163.13	0.097771
168.65	0.081213
174.18	0.067628
179.71	0.056427
185.24	0.047192
190.77	0.039567
196.3	0.03326
201.83	0.028051
207.36	0.023735
212.89	0.020156
218.42	0.017182
223.94	0.014704
229.47	0.012634
235	0.0109
240.53	0.0094421
246.06	0.0082123
251.59	0.0071715
257.12	0.0062887
262.65	0.0055364
268.18	0.0048951
273.71	0.0043482
279.23	0.0038824
284.76	0.0034867
290.29	0.0031491
295.82	0.0028452

