-295.82	0.0027797
-290.29	0.0031526
-284.76	0.0035875
-279.23	0.0040749
-273.71	0.004649
-268.18	0.0053048
-262.65	0.0060717
-257.12	0.0069625
-251.59	0.0079973
-246.06	0.0092113
-240.53	0.01063
-235	0.012304
-229.47	0.01427
-223.94	0.01659
-218.42	0.019336
-212.89	0.022597
-207.36	0.026465
-201.83	0.031083
-196.3	0.036583
-190.77	0.04316
-185.24	0.051041
-179.71	0.060494
-174.18	0.071884
-168.65	0.085654
-163.13	0.10238
-157.6	0.12282
-152.07	0.14795
-146.54	0.17902
-141.01	0.21763
-135.48	0.265
-129.95	0.32112
-124.42	0.38237
-124.42	0.38234
-119.24	0.43609
-114.02	0.4786
-108.77	0.50565
-103.5	0.52052
-98.205	0.52775
-92.883	0.53101
-87.539	0.5325
-82.173	0.53319
-76.786	0.53348
-71.381	0.53363
-65.958	0.53371
-60.519	0.53373
-55.065	0.53373
-49.597	0.53372
-44.117	0.53369
-38.626	0.53368
-33.126	0.53365
-27.618	0.53365
-22.102	0.53364
-16.581	0.53362
-11.057	0.53361
-5.529	0.53359
2.1554e-14	0.53359
-2.1554e-14	0.53359
5.529	0.53359
11.057	0.53358
16.581	0.53358
22.102	0.53358
27.618	0.53357
33.126	0.53356
38.626	0.53356
44.117	0.53354
49.597	0.53351
55.065	0.53349
60.519	0.53347
65.958	0.53343
71.381	0.53335
76.786	0.53319
82.173	0.53285
87.539	0.53217
92.883	0.5307
98.205	0.52751
103.5	0.52042
108.77	0.50587
114.02	0.47931
119.24	0.43736
124.42	0.38406
124.42	0.38409
129.95	0.32306
135.48	0.26703
141.01	0.21967
146.54	0.18112
152.07	0.14998
157.6	0.12478
163.13	0.10425
168.65	0.087413
174.18	0.073505
179.71	0.061951
185.24	0.052323
190.77	0.044281
196.3	0.037546
201.83	0.031893
207.36	0.027149
212.89	0.023161
218.42	0.019803
223.94	0.016971
229.47	0.014579
235	0.01255
240.53	0.010834
246.06	0.0093673
251.59	0.0081246
257.12	0.0070623
262.65	0.0061473
268.18	0.0053683
273.71	0.0046922
279.23	0.0041103
284.76	0.0036072
290.29	0.0031714
295.82	0.0027845

