-0.302	-0.286008248	-0.089466441	0.003385	-1.98E-04	0.003372
-0.300	-0.284160489	-0.088701074	0.003537	-2.00E-04	0.003523
-0.298	-0.28231273	-0.087935707	0.003692	-2.01E-04	0.003682
-0.296	-0.280464971	-0.08717034	0.003859	-2.02E-04	0.003848
-0.294	-0.278617212	-0.086404973	0.004032	-2.06E-04	0.004022
-0.292	-0.276769453	-0.085639607	0.004209	-2.09E-04	0.004205
-0.290	-0.274921694	-0.08487424	0.004398	-2.13E-04	0.004397
-0.288	-0.273073935	-0.084108873	0.004599	-2.16E-04	0.004598
-0.286	-0.271226176	-0.083343506	0.004808	-2.17E-04	0.004808
-0.284	-0.269378417	-0.082578139	0.005026	-2.19E-04	0.005027
-0.282	-0.267530658	-0.081812772	0.005259	-2.22E-04	0.005258
-0.280	-0.265682899	-0.081047405	0.005500	-2.27E-04	0.005501
-0.278	-0.26383514	-0.080282039	0.005756	-2.30E-04	0.005757
-0.276	-0.26198738	-0.079516672	0.006026	-2.32E-04	0.006025
-0.274	-0.260139621	-0.078751305	0.006306	-2.36E-04	0.006307
-0.272	-0.258291862	-0.077985938	0.006604	-2.39E-04	0.006605
-0.270	-0.256444103	-0.077220571	0.006917	-2.41E-04	0.006918
-0.268	-0.254596344	-0.076455204	0.007248	-2.41E-04	0.007249
-0.266	-0.252748585	-0.075689837	0.007594	-2.44E-04	0.007595
-0.264	-0.250900826	-0.07492447	0.007959	-2.46E-04	0.007960
-0.262	-0.249053067	-0.074159104	0.008346	-2.49E-04	0.008344
-0.260	-0.247205308	-0.073393737	0.008752	-2.52E-04	0.008751
-0.258	-0.245357549	-0.07262837	0.009180	-2.55E-04	0.009181
-0.256	-0.24350979	-0.071863003	0.009629	-2.59E-04	0.009632
-0.254	-0.241662031	-0.071097636	0.010104	-2.63E-04	0.010108
-0.252	-0.239814272	-0.070332269	0.010614	-2.67E-04	0.010613
-0.250	-0.237966513	-0.069566902	0.011142	-2.71E-04	0.011144
-0.248	-0.236118754	-0.068801536	0.011703	-2.74E-04	0.011705
-0.246	-0.234270994	-0.068036169	0.012300	-2.76E-04	0.012298
-0.244	-0.232423235	-0.067270802	0.012928	-2.79E-04	0.012925
-0.242	-0.230575476	-0.066505435	0.013588	-2.81E-04	0.013588
-0.240	-0.228727717	-0.065740068	0.014286	-2.85E-04	0.014288
-0.238	-0.226879958	-0.064974701	0.015030	-2.87E-04	0.015028
-0.236	-0.225032199	-0.064209334	0.015815	-2.91E-04	0.015812
