-0.150	-0.145578559	-0.031298559	0.156582	2.39E-04	0.156691
-0.148	-0.1437308	-0.030533192	0.167111	2.59E-04	0.167225
-0.146	-0.141883041	-0.029767825	0.178422	2.83E-04	0.178548
-0.144	-0.140035282	-0.029002459	0.190551	3.09E-04	0.190704
-0.142	-0.138187523	-0.028237092	0.203541	3.32E-04	0.203724
-0.140	-0.136339764	-0.027471725	0.217422	3.56E-04	0.217626
-0.138	-0.134491976	-0.026706427	0.232185	3.82E-04	0.232402
-0.136	-0.132641556	-0.025947523	0.247798	4.10E-04	0.248023
-0.134	-0.130786854	-0.025199145	0.264141	4.31E-04	0.264402
-0.132	-0.12892793	-0.024461317	0.281105	4.46E-04	0.281398
-0.130	-0.127064844	-0.023734063	0.298486	4.56E-04	0.298801
-0.128	-0.125197656	-0.023017406	0.316021	4.57E-04	0.316339
-0.126	-0.123326425	-0.02231137	0.333381	4.45E-04	0.333693
-0.124	-0.121451214	-0.021615977	0.350183	4.21E-04	0.350477
-0.122	-0.119572082	-0.02093125	0.366050	3.89E-04	0.366322
-0.120	-0.117689089	-0.020257211	0.380637	3.46E-04	0.380885
-0.118	-0.115802298	-0.019593881	0.393696	2.98E-04	0.393911
-0.116	-0.113911767	-0.018941283	0.405063	2.48E-04	0.405244
-0.114	-0.11201756	-0.018299436	0.414702	1.98E-04	0.414843
-0.112	-0.110119736	-0.017668363	0.422685	1.54E-04	0.422785
-0.110	-0.108218357	-0.017048082	0.429139	1.17E-04	0.429209
-0.108	-0.106313485	-0.016438615	0.434273	8.05E-05	0.434314
-0.106	-0.10440518	-0.015839981	0.438289	5.75E-05	0.438308
-0.104	-0.102493505	-0.015252199	0.441379	4.20E-05	0.441392
-0.102	-0.100578521	-0.014675288	0.443741	3.01E-05	0.443753
-0.100	-0.09866029	-0.014109267	0.445529	2.33E-05	0.445544
-0.098	-0.096738874	-0.013554155	0.446879	1.87E-05	0.446895
-0.096	-0.094814335	-0.013009968	0.447902	1.59E-05	0.447908
-0.094	-0.092886736	-0.012476725	0.448667	1.44E-05	0.448667
-0.092	-0.090956137	-0.011954443	0.449237	1.61E-05	0.449232
-0.090	-0.089022602	-0.011443138	0.449654	1.92E-05	0.449651
-0.088	-0.087086194	-0.010942828	0.449964	2.12E-05	0.449962
-0.086	-0.085146974	-0.010453527	0.450192	2.43E-05	0.450192
-0.084	-0.083205005	-0.009975254	0.450366	2.62E-05	0.450364
-0.082	-0.08126035	-0.009508021	0.450496	2.91E-05	0.450491
-0.080	-0.079313071	-0.009051845	0.450594	3.30E-05	0.450585
-0.078	-0.077363232	-0.008606741	0.450671	3.85E-05	0.450657
-0.076	-0.075410896	-0.008172723	0.450731	4.18E-05	0.450709
-0.074	-0.073456125	-0.007749804	0.450771	3.94E-05	0.450743
-0.072	-0.071498983	-0.007337998	0.450809	4.15E-05	0.450769
-0.070	-0.069539533	-0.00693732	0.450840	4.29E-05	0.450791
-0.068	-0.067577837	-0.006547781	0.450857	4.38E-05	0.450807
-0.066	-0.06561396	-0.006169394	0.450870	4.43E-05	0.450818
-0.064	-0.063647965	-0.005802171	0.450883	4.23E-05	0.450825
-0.062	-0.061679915	-0.005446125	0.450888	4.35E-05	0.450830
-0.060	-0.059709874	-0.005101267	0.450901	4.60E-05	0.450833
-0.058	-0.057737906	-0.004767608	0.450909	4.65E-05	0.450833
-0.056	-0.055764073	-0.004445158	0.450911	4.64E-05	0.450835
-0.054	-0.05378844	-0.004133928	0.450901	4.66E-05	0.450832
-0.052	-0.051811071	-3.83E-03	0.450900	5.00E-05	0.450832
-0.050	-0.049832029	-3.55E-03	0.450890	5.16E-05	0.450827
-0.048	-0.047851378	-3.27E-03	0.450881	5.30E-05	0.450825
-0.046	-0.045869182	-3.00E-03	0.450875	5.19E-05	0.450822
